Date,Births
2023-01-01,4208
2023-02-01,4427
2023-03-01,4797
2023-04-01,4866
2023-05-01,4787
2023-06-01,4631
2023-07-01,4759
2023-08-01,5304
2023-09-01,4812
2023-10-01,4722
2023-11-01,4016
2023-12-01,4322
2022-01-01,4558
2022-02-01,3970
2022-03-01,4423
2022-04-01,4583
2022-05-01,4945
2022-06-01,4958
2022-07-01,5104
2022-08-01,4880
2022-09-01,4857
2022-10-01,4339
2022-11-01,4237
2022-12-01,3964
2021-01-01,4357
2021-02-01,4412
2021-03-01,4499
2021-04-01,4906
2021-05-01,5252
2021-06-01,4644
2021-07-01,5322
2021-08-01,4850
2021-09-01,4501
2021-10-01,5005
2021-11-01,4776
2021-12-01,4309
2020-01-01,4235
2020-02-01,3933
2020-03-01,4847
2020-04-01,4830
2020-05-01,4845
2020-06-01,4985
2020-07-01,4825
2020-08-01,5435
2020-09-01,4635
2020-10-01,4773
2020-11-01,4295
2020-12-01,4105
2019-01-01,4595
2019-02-01,4165
2019-03-01,5281
2019-04-01,5312
2019-05-01,5758
2019-06-01,5533
2019-07-01,5524
2019-08-01,5681
2019-09-01,4698
2019-10-01,4617
2019-11-01,4283
2019-12-01,4149
2018-01-01,4629
2018-02-01,4366
2018-03-01,5343
2018-04-01,5137
2018-05-01,5365
2018-06-01,5415
2018-07-01,5297
2018-08-01,5765
2018-09-01,4843
2018-10-01,5406
2018-11-01,4982
2018-12-01,4199
2017-01-01,4498
2017-02-01,4934
2017-03-01,5435
2017-04-01,5648
2017-05-01,6000
2017-06-01,5194
2017-07-01,5692
2017-08-01,5349
2017-09-01,5699
2017-10-01,5300
2017-11-01,4813
2017-12-01,4252
2016-01-01,4903
2016-02-01,4726
2016-03-01,5645
2016-04-01,5764
2016-05-01,6000
2016-06-01,5744
2016-07-01,5662
2016-08-01,6000
2016-09-01,5807
2016-10-01,5433
2016-11-01,5343
2016-12-01,4727
2015-01-01,5118
2015-02-01,4846
2015-03-01,5074
2015-04-01,5331
2015-05-01,5563
2015-06-01,5945
2015-07-01,5899
2015-08-01,5957
2015-09-01,5989
2015-10-01,5208
2015-11-01,5090
2015-12-01,4967
